timestamp,open,high,low,close,volume
2025-07-02 12:20:58.361,51915.98,51999.41,51240.09,51240.09,1143546.0
2025-07-02 13:20:58.361,50656.58,51819.51,49278.35,51300.53,1613374.0
2025-07-02 14:20:58.361,52235.47,53655.19,50874.92,52833.31,1168241.0
2025-07-02 15:20:58.361,53390.07,53922.04,52383.36,53922.04,578793.0
2025-07-02 16:20:58.361,53113.23,53728.9,51673.28,52510.81,1090467.0
2025-07-02 17:20:58.361,52291.35,53260.49,51876.1,53260.49,1389732.0
2025-07-02 18:20:58.361,53321.25,54145.05,52869.48,54145.05,1063490.0
2025-07-02 19:20:58.361,54638.69,55087.51,53318.2,54328.75,1153420.0
2025-07-02 20:20:58.361,54032.1,55095.56,52724.38,53560.7,664431.0
2025-07-02 21:20:58.361,53126.05,53632.53,52583.15,52583.15,744993.0
2025-07-02 22:20:58.361,52861.07,54107.58,51526.38,52035.9,832780.0
2025-07-02 23:20:58.361,51008.38,51881.77,50145.36,50145.36,576724.0
2025-07-03 00:20:58.361,49519.44,50233.12,49340.34,50233.12,1011778.0
2025-07-03 01:20:58.361,49593.88,49743.05,48817.92,49172.36,1102240.0
2025-07-03 02:20:58.361,48842.28,49087.58,48698.52,48845.52,762767.0
2025-07-03 03:20:58.361,49365.83,50441.55,48005.5,48672.72,1703880.0
2025-07-03 04:20:58.361,48960.65,50380.16,48446.45,48446.45,1646635.0
2025-07-03 05:20:58.361,47591.82,48337.27,46846.37,48337.27,840994.0
2025-07-03 06:20:58.361,48892.3,50261.79,48766.83,49264.14,1979955.0
2025-07-03 07:20:58.361,48691.01,49322.39,48035.24,49322.39,1598983.0
2025-07-03 08:20:58.361,49616.04,50256.26,48359.31,49222.59,591993.0
2025-07-03 09:20:58.361,49520.43,50296.58,48554.28,50116.37,691835.0
2025-07-03 10:20:58.361,49448.19,50819.8,48775.58,48946.39,1007262.0
2025-07-03 11:20:58.361,49472.1,50553.24,48960.24,49187.19,1532395.0
2025-07-03 12:20:58.361,48481.95,49405.93,48068.5,49316.37,1334889.0
2025-07-03 13:20:58.361,48336.02,49110.78,47639.88,47639.88,845860.0
2025-07-03 14:20:58.361,47625.11,47975.82,46697.38,47504.0,1216866.0
2025-07-03 15:20:58.361,46712.59,47324.44,45463.71,47324.44,1420252.0
2025-07-03 16:20:58.361,48234.76,48977.86,46923.26,48112.83,1100795.0
2025-07-03 17:20:58.361,47422.89,48587.93,47234.82,47234.82,1580408.0
2025-07-03 18:20:58.361,47639.72,48550.79,46741.52,46741.52,1408925.0
2025-07-03 19:20:58.361,47513.07,48297.08,47345.81,48297.08,721865.0
2025-07-03 20:20:58.361,48867.6,48879.31,48366.2,48447.14,1699532.0
2025-07-03 21:20:58.361,48308.71,49011.86,47113.66,49011.86,1572584.0
2025-07-03 22:20:58.361,49529.28,50932.32,48781.97,50015.02,827295.0
2025-07-03 23:20:58.361,50168.23,50295.92,49668.46,50026.47,503277.0
2025-07-04 00:20:58.361,50812.29,52299.01,49586.62,50430.26,853751.0
2025-07-04 01:20:58.361,50483.93,50869.02,49186.6,49614.34,1436941.0
2025-07-04 02:20:58.361,49267.88,50729.62,48609.33,49575.13,1199879.0
2025-07-04 03:20:58.361,49911.82,50367.33,48924.35,49320.31,1826416.0
2025-07-04 04:20:58.361,50014.32,51404.17,48739.48,49553.06,1274690.0
